General/update_step,_step,_runtime,global_step,_timestamp,General/shaped_reward_agent0,Evaluation/1__cramped_room,Evaluation/2__asymm_advantages,Losses/entropy,Losses/total_loss,Evaluation/4__no_cooperation,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Scaled_returns/evaluation_4__no_cooperation_scaled,returned_episode_lengths,Evaluation/0__smallest_kitchen,General/learning_rate,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_2__asymm_advantages_scaled,Losses/actor_loss,Scaled_returns/evaluation_3__square_arena_scaled,General/steps_for_env,General/env_index,Advantage_Targets/targets,Scaled_returns/evaluation_5__easy_layout_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/reg_loss,Evaluation/5__easy_layout,returned_episode_returns,General/explore,Scaled_returns/returned_episode_returns_scaled,General/shaped_reward_agent1,Evaluation/3__square_arena,Losses/value_loss,General/env_step,reward,explore,General/shaped_reward_annealed_agent1,Advantage_Targets/advantages
,2926,600.939773888,6306,1746880890.892458,,,,,,,,,,,,,,,,,,,,,,1.4706697,,,,,,,,,,,,
,2951,600.940051562,6381,1746880895.325184,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,2956,600.940106804,6381,1746880895.3260446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016112813,
,2983,600.94041965,6456,1746880899.85586,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,2994,600.940542417,6456,1746880899.8570218,,,,,,,,,,,,,,-0.0004346734,,,,,,,,,,,,,,,,,,,,
,3074,600.942311848,6606,1746880908.7235126,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,3095,600.942587261,6681,1746880913.1545496,,,,,,,,,,,,,,,,,,,,,0.0011322501,,,,,,,,,,,,,
,3153,600.943244923,6831,1746880922.0194042,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,
,3156,600.943275721,6831,1746880922.0195081,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,3192,720.959274106,6906,1746880926.4520516,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,3199,720.959363503,6906,1746880926.4527345,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3208,720.959482436,6906,1746880926.4532187,,,,,5.5342774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3233,720.959778467,6981,1746880930.8841374,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,
,3238,720.959834464,6981,1746880930.8842914,,,,,,,,,,,,,,,,6297600.0,,,,,,,,,,,,,,,,,,
,3247,720.959941949,6981,1746880930.885104,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,3250,720.959975244,6981,1746880930.8852,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,3265,720.960143539,7056,1746880935.3155448,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
,3284,720.960359109,7056,1746880935.317416,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,3320,720.96078924,7131,1746880939.7512724,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,3321,720.960799419,7131,1746880939.751313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,3398,720.962615976,7356,1746880953.04694,,,,,,,,,,,,,,,,,,3.73542,,,,,,,,,,,,,,,,
,3412,720.962777336,7356,1746880953.0480015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,3456,720.963295808,7431,1746880957.4796844,,,,,,,,,,,,0.07017544,,,,,,,,,,,,,,,,,,,,,,
,3464,720.963385115,7431,1746880957.4804716,,,,,,,,,,,,,,,,,,,,,,,,17.490234,,,,,,,,,,
,3478,720.963548203,7506,1746880961.9109566,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,
,3498,720.963772447,7506,1746880961.9125829,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
,3513,720.96394324,7581,1746880966.3414977,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,
,3539,720.964240998,7656,1746880970.7736742,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,
,3567,720.96456422,7656,1746880970.7761252,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,
,3605,720.965206853,7731,1746880975.2096655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0390625,,,
,3644,840.990441994,7887,1746881104.8996615,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,
,3646,840.990468308,7887,1746881104.8997195,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3727,840.991422138,8037,1746881114.147702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013808437,
,3749,840.991676761,8112,1746881118.7716372,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,
,3790,840.992455292,8187,1746881123.395836,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
,3827,840.993511214,8262,1746881128.0194285,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,3849,840.993767568,8262,1746881128.0217319,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,3851,840.993789826,8262,1746881128.0217977,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
