_step,_runtime,Losses/reg_loss,global_step,_timestamp,returned_episode_lengths,General/explore,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/env_index,Advantage_Targets/advantages,Evaluation/0__smallest_kitchen,Scaled_returns/evaluation_1__square_arena_scaled,returned_episode_returns,reward,General/env_step,Scaled_returns/evaluation_4__cramped_room_scaled,General/shaped_reward_agent0,Evaluation/3__easy_layout,Evaluation/5__asymm_advantages,Scaled_returns/returned_episode_returns_scaled,Evaluation/1__square_arena,Scaled_returns/evaluation_2__no_cooperation_scaled,returned_episode,Losses/total_loss,General/update_step,Advantage_Targets/targets,General/steps_for_env,Losses/entropy,explore,General/learning_rate,Scaled_returns/evaluation_3__easy_layout_scaled,Losses/value_loss,General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/evaluation_5__asymm_advantages_scaled,Losses/actor_loss,Evaluation/4__cramped_room,Evaluation/2__no_cooperation,task_2_2__no_cooperation
1989,480.840766789,,4281.0,1746880791.4959223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2004,480.840950645,,4356.0,1746880795.8936822,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,480.841356787,,4431.0,1746880800.2939856,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,480.841778062,,4506.0,1746880804.6951776,,,,,,,,,,,1228800.0,,,,,,,,,,,,,,,,,,,,,,,,
2087,480.841924285,,4506.0,1746880804.696733,,,,,,,,,,,,,,,,,,,,2.1241693,,,,,,,,,,,,,,,
2093,480.841996144,,4506.0,1746880804.6969461,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2104,480.842120998,,4581.0,1746880809.09653,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2156,600.861074686,2.4522204,4656.0,1746880813.499882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,600.861267057,,4731.0,1746880817.9023147,,,,,,-0.071243554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,600.861478489,,4731.0,1746880817.903846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005372042,,,
2203,600.861637671,,4731.0,1746880817.9053452,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,600.862288046,,4881.0,1746880826.7194936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013847046,,,
2276,600.862483622,,4956.0,1746880831.1262226,,,,,,-0.02058918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,600.862506757,,4956.0,1746880831.1263137,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,600.863438816,,5106.0,1746880839.944701,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2399,600.864719434,,5181.0,1746880844.3534367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00013871095,,,
2400,600.864731358,,5181.0,1746880844.353467,,,,,,,,,,,,,,,,,,,,,,,,0.49351287,,,,,,,,,,,
2406,600.864808301,,5181.0,1746880844.3545702,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2431,600.865111722,,5256.0,1746880848.7606447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00095896877,,,,,
2493,600.865880863,,5406.0,1746880857.5791852,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2517,600.866184444,,5406.0,1746880857.5814457,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,600.866533498,,5481.0,1746880861.9903107,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2618,600.867546107,,5631.0,1746880870.8090522,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2626,600.867702435,,5706.0,1746880875.2151845,,,,,,-0.10166189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,600.868246921,,5706.0,1746880875.2169461,,,,,,,,,,,,,,,,,,,,2.8403258,,,,,,,,,,,,,,,
2667,600.868783713,,5781.0,1746880879.6262674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2673,600.868855861,,5781.0,1746880879.627191,,,,,,,,,,,,,0.009765625,,,,,,,,,,,,,,,,,,,,,,
2697,600.869150252,,5856.0,1746880884.036325,,,,,,,,,,,,,,,,,,,,,,0.5503968,,,,,,,,,,,,,
2707,600.869270681,,5856.0,1746880884.0373294,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,
2719,600.869423493,,5856.0,1746880884.0382059,,,,0.92913383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,600.869554089,,5856.0,1746880884.0391498,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2742,600.869702239,,5931.0,1746880888.4477835,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,
2762,600.869956131,,5931.0,1746880888.4493527,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,600.870514671,,6081.0,1746880897.2679427,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2976,600.873373447,,6456.0,1746880919.3120518,,,,,,-0.06594529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2977,600.87338493,,6456.0,1746880919.3121073,,,,,,,,,,,,,,,,,,,,,,0.38574165,,,,,,,,,,,,,
2985,600.873472219,,6456.0,1746880919.3123808,,,,,,,,,,,5222400.0,,,,,,,,,,,,,,,,,,,,,,,,
3015,600.8738059,,6531.0,1746880923.7214541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
3035,600.874039194,,6531.0,1746880923.723493,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,600.874502463,,6606.0,1746880928.132864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
3083,600.874608514,,6681.0,1746880932.5407593,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3148,720.894905401,,6756.0,1746880936.9519641,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,720.894930085,,6756.0,1746880936.9520273,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
3199,720.895499182,,6906.0,1746880945.769387,,,0.030273438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223,720.895774356,,6981.0,1746880950.1781814,,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,720.89589691,,6981.0,1746880950.179301,,,0.0029296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236,720.895923757,,6981.0,1746880950.1793652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006241876,,,,,
3244,720.896022538,,6981.0,1746880950.1801968,,,,0.92913383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,720.897081719,,7206.0,1746880963.4062495,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,720.897432583,,7206.0,1746880963.407103,,,,,,,,,,,,,,,,,,,,,,,6758400.0,,,,,,,,,,,,
3368,720.898116225,,7281.0,1746880967.8162937,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
3411,720.899086254,,7356.0,1746880972.2266345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029721253,,,,,
3421,720.899201858,,7356.0,1746880972.227699,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
3436,720.899375583,,7431.0,1746880976.6353195,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
3457,720.899614014,,7431.0,1746880976.637281,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
3483,720.899906753,,7506.0,1746880981.0462406,,,,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,
3501,720.900106097,,7581.0,1746880985.454598,,,,,,0.014033589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,720.900208224,,7581.0,1746880985.4549184,,,,,,,,,,,7526400.0,,,,,,,,,,,,,,,,,,,,,,,,
