returned_episode_lengths,_step,_runtime,global_step,_timestamp,General/learning_rate,reward,Scaled_returns/evaluation_2__square_arena_scaled,General/explore,General/shaped_reward_agent0,General/shaped_reward_annealed_agent1,Losses/reg_loss,Losses/total_loss,Scaled_returns/evaluation_1__no_cooperation_scaled,Scaled_returns/evaluation_0__asymm_advantages_scaled,General/env_index,General/steps_for_env,Evaluation/0__asymm_advantages,Scaled_returns/evaluation_3__smallest_kitchen_scaled,Losses/actor_loss,Losses/entropy,Evaluation/2__square_arena,Evaluation/1__no_cooperation,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/returned_episode_returns_scaled,explore,Losses/value_loss,returned_episode_returns,Advantage_Targets/advantages,returned_episode,General/shaped_reward_annealed_agent0,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,General/update_step,Evaluation/3__smallest_kitchen,General/shaped_reward_agent1,Evaluation/5__cramped_room,Advantage_Targets/targets,Evaluation/4__easy_layout
,2830,600.952719545,6081,1746880916.5172548,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,2928,600.95435785,6306,1746880930.399691,,,,,,,,,,,,,,,,,,,,,,0.8373448,,,,,,,,,,,,
,2931,600.954397385,6306,1746880930.4000077,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2943,720.971295556,6381,1746880935.0255845,,,,,,,,,,,,,468.0,,,,,,,,,,,,,,,,,,,,,
,2958,720.971486659,6381,1746880935.0267978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475.0,,,,,
,3014,720.97216121,6531,1746880944.377349,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
400.0,3042,720.972504516,6531,1746880944.3797603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3096,720.973126334,6681,1746880953.6333778,,,,,,0.00566125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3107,720.973256752,6681,1746880953.6343918,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,3158,720.974463783,6831,1746880962.8887548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,3181,720.975106281,6831,1746880962.891294,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,3203,720.975385441,6906,1746880967.516383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,,,,,
,3216,720.975541913,6906,1746880967.5175993,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,3239,720.975811663,6981,1746880972.1439443,,,,,,,,,,,,,,,-0.0024181474,,,,,,,,,,,,,,,,,,,
,3279,720.976279444,7056,1746880976.7725525,,,,,,,,,,1.0308369,,,,,,,,,,,,,,,,,,,,,,,,
,3289,720.976393885,7056,1746880976.7736998,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3303,720.976551406,7131,1746880981.3991766,,,,,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3381,720.977470742,7281,1746880990.6549282,,,,,,,2.4913788,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3400,720.977686217,7356,1746880995.2811046,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
,3405,720.977738876,7356,1746880995.2812681,,,,,,,,,,,,,,,,,,,,,,,,,,,7065600.0,,,,,,,
,3434,720.978551503,7431,1746880999.909121,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
,3451,720.97913139,7431,1746880999.9105122,,,,,,,1.9066913,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3452,720.979143664,7431,1746880999.9108837,,,,,,,,2.177741,,,,,,,,,,,,,,,,,,,,,,,,,,
,3456,720.979203604,7431,1746880999.9113507,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3490,720.979604096,7506,1746881004.538752,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,3495,720.979660991,7506,1746881004.5391343,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,3496,720.979671812,7506,1746881004.5395713,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,3564,720.980452332,7656,1746881013.7944868,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,3656,840.999837833,7887,1746881150.0086067,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014370937,,,,,,,,
,3658,840.999860679,7887,1746881150.0089855,,,,,,,,,,,,153600.0,,,,,,,,,,,,,,,,,,,,,,
