_step,_runtime,General/env_index,global_step,_timestamp,Losses/actor_loss,Scaled_returns/evaluation_4__easy_layout_scaled,reward,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Evaluation/4__easy_layout,Evaluation/5__cramped_room,Advantage_Targets/advantages,General/env_step,General/update_step,Losses/total_loss,explore,General/explore,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,returned_episode,General/learning_rate,Evaluation/2__asymm_advantages,returned_episode_returns,General/shaped_reward_annealed_agent1,Losses/reg_loss,General/steps_for_env,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode_lengths,Evaluation/3__no_cooperation,Scaled_returns/evaluation_3__no_cooperation_scaled,Losses/value_loss,Scaled_returns/evaluation_1__square_arena_scaled,Evaluation/0__smallest_kitchen,General/shaped_reward_agent0,Advantage_Targets/targets,Scaled_returns/returned_episode_returns_scaled,Losses/entropy,task_2_2__asymm_advantages
1800,360.849220396,,3900.0,1746880636.2501023,,,,,,,,,,,,,,,,,,,,,0.0003162862,,,,,,,,,,,,,,
1810,360.849337004,,3900.0,1746880636.2509134,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1812,360.84936423,,3900.0,1746880636.251682,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,480.876403003,,3981.0,1746880768.4022155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5239307,,,
1832,480.876528617,,3981.0,1746880768.4037404,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,
1834,480.876552583,,3981.0,1746880768.403817,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,480.87687711,,3981.0,1746880768.4056256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1886,480.877263462,,4056.0,1746880772.8273983,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,
1908,480.877515621,,4131.0,1746880777.2481034,,,,,,,,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,
1923,480.877689346,,4131.0,1746880777.2494123,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1944,480.877921845,,4206.0,1746880781.6684813,-0.00013679292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,480.878004569,,4206.0,1746880781.66885,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1958,480.878083732,,4206.0,1746880781.669614,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1971,480.878255131,,4281.0,1746880786.0878518,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1973,480.878294275,,4281.0,1746880786.0883646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
