_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__asymm_advantages_scaled,reward,Scaled_returns/evaluation_1__cramped_room_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__smallest_kitchen_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__square_arena,Evaluation/5__smallest_kitchen,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__no_cooperation_scaled,Evaluation/1__cramped_room,Evaluation/3__easy_layout,Losses/reg_loss,Evaluation/2__no_cooperation,Scaled_returns/evaluation_0__square_arena_scaled,General/steps_for_env,Evaluation/4__asymm_advantages,General/update_step,explore,Scaled_returns/evaluation_3__easy_layout_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages,task_5_5__smallest_kitchen
2683,600.867669656,,5781.0,1746880887.063139,,,,,,,,,,,,,0.00245796,,,,,,,,,,,,,,,,,,,,,,
2691,600.867760958,,5781.0,1746880887.063797,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
2709,600.867967665,,5856.0,1746880891.453282,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2735,600.868258855,,5931.0,1746880895.8427856,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2742,600.86853373,,5931.0,1746880895.8436713,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,600.869195316,,6006.0,1746880900.23364,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2801,600.869799351,,6081.0,1746880904.6245983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0020053783,
2855,600.870410511,,6156.0,1746880909.0160227,,,,,,0.61745894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,600.87100068,,6306.0,1746880917.7943363,,,,,,,,,,,,,,,,,0.00061418524,,,,,,,,,,,,,,,,,,
2989,600.871904382,,6456.0,1746880926.5757182,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
3015,600.872473316,,6531.0,1746880930.9653337,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
3054,720.891026166,1.0,6606.0,1746880935.3557522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,720.891113731,,6606.0,1746880935.3567326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
3062,720.891125006,,6606.0,1746880935.3567686,,,,,,,,,,,,,,,,,,,,,,,,,,,5529600.0,,,,,,,,
3084,720.891395803,,6681.0,1746880939.7466593,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
3085,720.89140713,,6681.0,1746880939.74669,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
3089,720.891451374,1.0,6681.0,1746880939.7468174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,720.891510029,,6681.0,1746880939.7473705,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
3113,720.891742044,,6681.0,1746880939.7493598,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,720.892257659,,6831.0,1746880948.528403,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
3185,720.892883479,,6831.0,1746880948.5310512,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
3194,720.893080737,1.0,6906.0,1746880952.919425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,720.893563836,,6906.0,1746880952.9208493,,,,,,,,,,,,,,,,,,,,,,,,,,0.95752895,,,,,,,,,
3214,720.89372044,,6906.0,1746880952.9213943,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3222,720.894071999,,6981.0,1746880957.3102582,,,,,,,,,,,,,,,,,-0.001940667,,,,,,,,,,,,,,,,,,
3259,720.894515626,,7056.0,1746880961.700843,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
