_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__easy_layout_scaled,reward,Scaled_returns/evaluation_1__square_arena_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__smallest_kitchen,Evaluation/5__cramped_room,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,Evaluation/3__no_cooperation,Losses/reg_loss,Evaluation/2__asymm_advantages,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/steps_for_env,Evaluation/4__easy_layout,General/update_step,explore,Scaled_returns/evaluation_3__no_cooperation_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages
3312,721.061300163,,7131,1746880951.0661395,,,,,,,,,,,,,,,,,,,,21.507008,,,,,,,,,,,,,,
3344,721.061679103,,7206,1746880955.5281034,,,,,,,-0.00081767,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,721.061813677,,7206,1746880955.5296175,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
3402,721.062693451,,7356,1746880964.4487906,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
3412,721.062914964,,7356,1746880964.4497466,,,,,,,,,,,,,,,,,,,,,,,,,,,7065600.0,,,,,,,
3422,721.063312623,,7356,1746880964.450778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
3431,721.063673232,,7431,1746880968.909871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4358664
3440,721.063784766,,7431,1746880968.910175,,,,,,,,,7219200.0,,,,,,,,,,,,,,,,,,,,,,,,,
3464,721.064081857,,7431,1746880968.9128277,,0.26367188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,721.064156533,,7506,1746880973.3712482,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
3496,721.064468731,,7506,1746880973.3733988,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
3498,721.064491385,,7506,1746880973.3739564,,,,,,,,123.759766,,,,,,,,,,,,,,,,,,,,,,,,,,
3553,721.065132003,,7656,1746880982.2954004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,,,,,
3566,721.065282026,,7656,1746880982.2966065,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
3576,721.065402682,,7731,1746880986.7568011,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3599,721.065661219,,7731,1746880986.7588239,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3618,721.065877492,,7806,1746880991.2203026,,,,,,,,,,,,,,,,,,0.09472656,,,,,,,,,,,,,,,,
3629,721.06600869,,7806,1746880991.2209795,,,,,,,,,,,,,,,,,,,,,,,,,,0.92913383,,,,,,,,
3660,841.089007596,,7887,1746881119.8848176,,,,,,,-0.00048688616,,,,,,,,,,,,,,,,,,,,,,,,,,,
3696,841.089698243,,7962,1746881124.6286116,,,,,,0.9173811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,841.09027612,2.0,8037,1746881129.3741167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3766,841.091322073,,8112,1746881134.1209486,,,,,,0.5799944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781,841.091501755,,8112,1746881134.1225202,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
3808,841.091815669,,8187,1746881138.867785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
3819,841.091940339,,8262,1746881143.6108797,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,
3826,841.092019174,,8262,1746881143.6110888,,,,,,,,,921600.0,,,,,,,,,,,,,,,,,,,,,,,,,
3837,841.092148067,,8262,1746881143.6120427,,,,,,,,,,,,,,,,,,,,,,,,1.2810142,,,,,,,,,,
3842,841.092209961,,8262,1746881143.6129599,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
3852,841.092328005,,8337,1746881148.3572426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.122767314
3872,841.092568329,,8337,1746881148.3586843,,,,,,,,,,,,,,,,,,,,,,,,0.9812887,,,,,,,,,,
3877,841.092625794,,8337,1746881148.3594546,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
3884,841.092708342,,8337,1746881148.3602922,,,,,,,,1.2402344,,,,,,,,,,,,,,,,,,,,,,,,,,
3901,841.092907892,,8412,1746881153.1040888,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
3946,841.093687048,,8487,1746881157.8518503,,,0.5096525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,961.111428939,,8637,1746881167.3441238,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4009,961.111743448,,8637,1746881167.3443193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0,,,,,
4027,961.112140461,,8712,1746881172.089871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08316178
4031,961.112276882,,8712,1746881172.0900376,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
4049,961.113017226,,8712,1746881172.0918078,,,,,,,,,,,,,0.08270022,,,,,,,,,,,,,,,,,,,,,
4051,961.11304343,,8712,1746881172.0918856,,,0.52509654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075,961.11335253,,8787,1746881176.8380065,,,,,,,,,,,,,,0.022949219,,,,,,,,,,,,,,,,,,,,
4085,961.113476112,,8787,1746881176.8389132,,,,,,,,,,,,,,,,,,,,,,,,,,0.86614174,,,,,,,,
4119,961.113873807,,8862,1746881181.5873616,,,,,,,,,,,,,0.90792686,,,,,,,,,,,,,,,,,,,,,
4141,961.114136145,,8937,1746881186.332703,,,,,,,,,2304000.0,,,,,,,,,,,,,,,,,,,,,,,,,
4147,961.114206993,,8937,1746881186.3336618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012172344,,
