global_step,_timestamp,task_0_0__square_arena,General/env_index,task_2_2__no_cooperation,Scaled_returns/evaluation_3__easy_layout_scaled,Scaled_returns/evaluation_5__smallest_kitchen_scaled,task_3_3__easy_layout,General/shaped_reward_annealed_agent1,Evaluation/2__no_cooperation,_runtime,task_4_4__asymm_advantages,Scaled_returns/evaluation_2__no_cooperation_scaled,Losses/actor_loss,Evaluation/4__asymm_advantages,_step,General/learning_rate,Losses/entropy,task_5_5__smallest_kitchen,General/steps_for_env,returned_episode,returned_episode_returns,Evaluation/1__cramped_room,Evaluation/5__smallest_kitchen,returned_episode_lengths,General/shaped_reward_agent0,Losses/total_loss,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/returned_episode_returns_scaled,Losses/value_loss,Evaluation/3__easy_layout,General/shaped_reward_agent1,General/update_step,task_1_1__cramped_room,Advantage_Targets/advantages,reward,General/shaped_reward_annealed_agent0,explore,Evaluation/0__square_arena,Scaled_returns/evaluation_4__asymm_advantages_scaled,Losses/reg_loss,General/explore,Scaled_returns/evaluation_0__square_arena_scaled,Advantage_Targets/targets,General/env_step
6006,1746880877.6861215,,1.0,,,,,,,600.985299879,,,,,2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,1746880877.6874678,,,,,,,,,600.985422904,,,,,2785,,0.78908396,,,,,,,,,,,,,,,,,,,,,,,,,,,
6081,1746880882.0643263,,,,,,,,,600.985757495,,,,,2815,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
6081,1746880882.0644176,,,,,,,,,600.985791164,,,,,2818,,,,,,,,,,,,,,,,,2175.0,,,,,,,,,,,,
6081,1746880882.0656042,,,,,,,,,600.985930818,,,,,2830,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
6156,1746880886.442747,,,,,,,,,600.986336489,,,,,2865,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
6231,1746880890.8185441,,,,,,,,,600.986726867,,,,,2900,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
6231,1746880890.8192642,,,,,,,,,600.986770508,,,,,2904,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
6381,1746880899.571131,,,,,,,,,600.987306814,,,,,2952,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456,1746880903.9470685,,,,,,,,0.0,600.987882685,,,,,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456,1746880904.0477965,,,,,,,,,600.988478078,,,,,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95752895,,
6531,1746880908.4245787,,,,,,,,,600.989164344,,,,,3032,,,,,,,,,,,3.0773425,,,,,,,,,,,,,,,,,,
6606,1746880912.801357,,,,,,,,,600.989451309,,,,,3057,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756,1746880921.5564263,,,,,,,,,600.990516814,,,,,3149,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
6831,1746880925.9317396,,,,,,,,,600.990689552,,,,,3162,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6831,1746880925.9323974,,,,,,,,,600.990840296,,,,,3173,,,,,,,,,,,,,,0.0051800637,,,,,,,,,,,,,,,
6981,1746880934.6852806,,,,,,,,,721.010771178,,,,,3235,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
6981,1746880934.685316,,,,,,,0.0003120938,,721.010783251,,,,,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6981,1746880934.6864164,,,,0.0,,,,,721.01091159,,,,,3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7056,1746880939.0634162,,,,,,,,,721.011202766,,,,,3272,,,,6451200.0,,,,,,,,,,,,,,,,,,,,,,,,,
7056,1746880939.0646353,,,,,,,,,721.011409686,,,,,3290,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
7206,1746880947.8159025,,,,,,,,0.0,721.012519336,,,,,3330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7206,1746880947.815991,,,,,,,,,721.012607489,,,,,3333,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
7206,1746880947.8160603,,,,,,,,,721.012647828,,,,,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6758400.0
7281,1746880952.194431,,,,,,,,,721.013572492,,,,,3384,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98841697,,
7356,1746880956.5716665,,,,,,,0.0,,721.013878009,,,,,3411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506,1746880965.3251603,,,,,,,,,721.014621491,,,,,3477,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506,1746880965.3254302,,,,,,,0.00023043755,,721.014668416,,,,,3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506,1746880965.3254917,,,,,,,,,721.014692002,,,,,3483,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,
7581,1746880969.701265,,,,,,,,0.0,721.014946888,,,,,3505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7581,1746880969.7012966,,,,,,,,,721.014957089,,,,,3506,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
7581,1746880969.70135,,,,,,,,,721.014978483,,,,,3508,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
7656,1746880974.0788023,,,,,,,,,721.015415004,,,,,3546,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
7731,1746880978.4566813,,,,,,,,,721.016738089,,,,,3588,,,,,,,,,,,,,,,,,3825.0,,,,,,,,,,,,
7731,1746880978.457562,,,,,,,,,721.016857712,,,,,3598,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
7731,1746880978.4575973,,,,,0.0,,,,721.016869516,,,,,3599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7731,1746880978.4583786,,,,,,,,,721.016942463,,,,,3605,,,,,,,,,,,,,0.0054396247,,,,,,,,,,,,,,,,
7887,1746881112.5685282,,,,,,,,,841.032017277,,,,,3653,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7962,1746881116.9089866,,,,,,,,,841.033429468,,,,,3710,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
8037,1746881121.2444816,,,,,,,,,841.033757157,,,,,3715,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
8112,1746881125.58494,,,,,,,,,841.034218965,,,,,3752,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
8112,1746881125.5850284,,2.0,,,,,,,841.034252751,,,,,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8112,1746881125.5857234,,,,,,,,,841.034312126,,,,,3760,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
8112,1746881125.5866728,,,,,,,,,841.034445832,,,,,3771,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
8187,1746881129.9240222,,,,,,,,,841.034703072,,,,,3794,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8187,1746881129.924052,,,,,,,,,841.034713498,,,,,3795,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
